EmployerID,company,sector,city,state,CEO,Website,Zip Code
1,1-800-Flowers.com,Retailing,Jericho,NY,Christopher G. McCann,https://www.1800flowers.com,55144
2,3M,Chemicals,St. Paul,MN,Michael F. Roman,www.3m.com,60064
3,A.O. Smith,Industrials,Milwaukee,WI,Kevin J. Wheeler,https://www.aosmith.com,60064
4,Abbott Laboratories,Health Care,Abbott Park,IL,Robert B. Ford,www.abbott.com,77449
5,AbbVie,Health Care,North Chicago,IL,Richard A. Gonzalez,www.abbvie.com,90404
6,Abercrombie & Fitch,Retailing,New Albany,OH,Fran Horowitz,https://www.abercrombie.com,95110
7,ABM Industries,Business Services,New York,NY,Scott B. Salmirs,https://www.abm.com,27609
8,Academy Sports and Outdoors,Retailing,Katy,TX,Ken C. Hicks,https://www.academy.com,95054
9,Acadia Healthcare,Health Care,Franklin,TN,Christopher H. Hunter,https://www.acadiahealthcare.com,75240
10,Activision Blizzard,Media,Santa Monica,CA,Robert A. Kotick,https://www.activisionblizzard.com,22203
11,Acuity Brands,Industrials,Atlanta,GA,Neil M. Ashe,https://www.acuitybrands.com,31999
12,Acushnet Holdings,"Hotels, Restaurants & Leisure",Fairhaven,MA,David Maher,https://www.acushnetholdingscorp.com,30096
13,AdaptHealth,Health Care,Plymouth Meeting,PA,Stephen P. Griggs,https://www.adapthealth.com,18106
14,Adobe,Technology,San Jose,CA,Shantanu Narayen,https://www.adobe.com,83706
15,ADT,Business Services,Boca Raton,FL,James D. DeVries,https://www.adt.com,15212
16,Advance Auto Parts,Retailing,Raleigh,NC,Thomas R. Greco,https://www.advanceautoparts.com,10018
17,Advanced Micro Devices,Technology,Santa Clara,CA,Lisa Su,https://www.amd.com,60062
18,Advantage Solutions,Business Services,Irvine,CA,Jill Griffin,https://www.advantagesolutions.net,48226
19,AECOM,Engineering & Construction,Dallas,TX,W. Troy Rudd,https://www.aecom.com,94043
20,Aerojet Rocketdyne Holdings,Aerospace & Defense,El Segundo,CA,Eileen P. Drake,https://www.aerojetrocketdyne.com,11101
